age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,was_previously_contacted,age_group,campaign_group,job_group,cluster,pca1,pca2
30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,not_working,1,1.091657095326064,-0.8857962866866947
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.5114839366848214,-1.4097205228572023
55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,not_working,1,0.49190589335405843,0.3755231594739713
41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,0.8288560736282399,1.5280905881902749
37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.3165904817008693,0.046890544983009715
35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,1,1.3852022330988816,0.04874769079586135
59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.5390541535758273,-1.9835487947623285
39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.5962884284400054,-0.6010715424946979
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,2,blue_collar,1,0.9303818397811767,1.4851718629342396
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,unknown,4,1.9118574467629228,-1.8648593056367446
46,admin.,married,unknown,no,no,no,telephone,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.5254066772130601,-0.9251104466488861
59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.5390541535758273,-1.9835487947623285
49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.6146744121532584,-1.6158365724769694
54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.4297692302615164,-0.7965507542561651
54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.355703603186569,-0.3605816436021491
55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,unknown,4,1.7317260497212843,-2.1001550328452447
34,services,married,high.school,no,no,no,telephone,may,mon,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,1,1.4965845322522855,-0.43123607301380706
52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.6099359048027726,-1.65950989060814
41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.2298713112348192,0.3577031466007169
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.5152604509432681,-1.4484987014707253
58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,white_collar,1,0.8314001234497699,0.8276039359343713
32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,white_collar,1,1.297707910408636,0.24078143805062507
38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,0.964834749399957,1.7342388284624033
57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,white_collar,1,1.3903473546198502,-0.22998064871413196
44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.2412008540101591,0.24136861076014765
42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.0578789985986021,1.004734524020797
57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,white_collar,1,1.2769619534579522,-0.20991108486426027
40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.6646695489512966,-1.161404684744343
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,white_collar,1,1.207212225684139,0.5903722182818553
45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,2,blue_collar,1,1.624371212124715,-1.3727207958156415
54,admin.,married,high.school,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.4941766252563606,-0.6324080552967544
39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.5511115237995587,-0.7565026025393128
60,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,white_collar,1,1.5168357108070407,-0.865077126977893
53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.0214824632766573,1.1525661492595574
55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,2,blue_collar,1,1.6657402449777885,-1.414448242209237
55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.5743669400677853,-1.690016581754003
50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.3639117548107234,0.041466601580529464
45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.424740787933301,-0.8377264739126892
55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,not_working,1,1.1712119742633367,-2.2468528835295913
25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,18-25,1,blue_collar,1,0.6666066179932562,2.614466762078443
47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.3659157979473973,0.10496451106970668
51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.6061593905443259,-1.620731711994617
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,0,1.6285096993561679,-1.4256961372627435
42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,0,1.7418951005180658,-1.4457657011126153
48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.4715175397056808,-0.39973898361561583
37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.3281506553629305,0.49274629720493746
44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,0.9989451334639248,0.8614198859489159
33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,white_collar,1,1.3629265906913552,-0.40092456082321437
56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,2,white_collar,1,1.5879746768027698,-1.2248891705768814
44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,0.8758300366586196,1.2803804158918153
41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,0,1.6601803940947608,-0.832595932511578
44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,0.9758116336084554,1.2717988752515497
47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.2525303967854993,0.12503407491957838
57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,unknown,4,1.8651286392572948,-2.6164965113731973
37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.2147652542010325,0.5128158610548091
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,36-45,1,blue_collar,1,1.1932235166648644,0.16360424222352254
55,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.4740661041798289,-0.7796525078259923
33,services,married,high.school,unknown,yes,no,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,2,blue_collar,1,1.42029352396301,-0.35704648605257505
55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.4460099043771821,-1.254044490320722
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.6855561633802039,-1.2917976683227812
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.492601365392588,-1.2158296297895868
51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,3,1.8273125103595638,-1.6694496600756918
38,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,2,white_collar,1,1.474623304252283,0.0033846470174519576
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,46-55,1,white_collar,1,1.2600834253023925,0.04747771769253208
38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,0.815753118602947,2.1431175026041633
31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,white_collar,1,1.1419275769103836,1.2899203173056786
41,management,married,basic.6y,no,no,no,telephone,may,mon,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,2,white_collar,0,1.7010513012258297,-0.817254088013741
39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.208984696805912,0.48809613017915526
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,46-55,1,blue_collar,1,1.7119917631893304,-1.5632449186174426
34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,2,white_collar,1,1.3461318460565983,0.178566925321416
35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,2,white_collar,1,1.248083132815208,0.6057140627796924
57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,unknown,4,1.7517432380953968,-2.5964269475233253
60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,2,white_collar,1,1.6058151980503688,-1.3998264763889803
33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,not_working,1,1.2617461551617488,-1.5524669889280533
42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,0,1.728561514606052,-1.3929290747612233
45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.5366017974833186,-1.302234795618772
42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.347033226655164,0.29885540413732214
53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.1231856630963737,0.90272570387997
37,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.0389964273063688,1.1986254170884123
44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,0,1.749448129034959,-1.5233220583396614
54,services,married,unknown,no,yes,no,telephone,may,mon,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.5201715822835937,-1.789657901694713
49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,3,blue_collar,1,1.6839520665581773,-1.1664373260302614
54,services,married,unknown,no,no,no,telephone,may,mon,400,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.6335569834454917,-1.8097274655445847
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.119409148837927,0.941503882493493
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.119409148837927,0.941503882493493
43,services,single,high.school,unknown,no,no,telephone,may,mon,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,0.9497945033070313,1.430464667113357
34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,2,blue_collar,0,1.6391684924196634,-1.100128863856722
35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,2,white_collar,1,1.3499083603150448,0.13978874670789299
42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,white_collar,1,1.3969152190173755,-0.749928168344922
43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.4652963395286667,-1.3102613105945673
60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,not_working,1,0.8377380751779233,-0.5527860645291859
58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,2,not_working,1,1.2872484078606936,-2.1404557061767875
35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,1,1.1215864249471306,0.5804855767139436
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,2,blue_collar,1,1.6621363547091816,-1.7605025819508724
37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,2,white_collar,1,1.3690215624939994,0.5080881417027746
36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.504137560769179,-0.5087924302408532
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,2,white_collar,1,1.1602800559689959,0.9568457269913302
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,blue_collar,1,1.2661119046572302,-0.8755621730438806
56,admin.,married,unknown,no,yes,no,telephone,may,mon,364,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,1,white_collar,1,1.4497864186356288,-1.292822668934245
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.2196591164739912,-0.10784300807113908
40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.4058582166410676,-0.6438355808450739
49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,blue_collar,1,1.287843025727282,0.017521512274748723
41,services,married,high.school,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.5230201320614123,-0.7026833233084685
45,technician,married,high.school,no,yes,no,telephone,may,mon,79,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.424740787933301,-0.8377264739126892
32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,white_collar,1,1.1825490969967853,0.7595433804738166
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,2,white_collar,1,1.374570547874219,0.3670338749865513
50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,0,1.6941690224207808,-1.1815995400332857
31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,1,1.2050077915513477,0.32392659581334465
56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,56-65,2,not_working,1,1.1663099781819022,-2.042829785099869
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,36-45,1,blue_collar,1,1.521495740449532,-1.1471220811646798
37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,0,1.5962935421519207,-1.1789686178437362
41,technician,married,professional.course,unknown,no,no,telephone,may,mon,677,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,1,1.63488114161143,-1.1671916450145516
35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,26-35,1,blue_collar,1,1.448417811373107,-1.0528725080377748
37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,36-45,1,blue_collar,0,1.6096271280639345,-1.2318052441951282
52,management,married,university.degree,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,46-55,1,white_collar,1,1.3847983692396306,-0.0889263819979088
